feature,importance
V241,0.0
V269,0.0
V92,0.0
V88,0.0
V84,0.0
V79,0.0
V65,0.0
V60,0.0
V325,0.0
V89,0.0
V121,0.0
V118,0.0
V330,0.0
V9,0.0
V323,0.0
V324,0.0
V119,0.0
V18,0.0
V15,0.0
V17,0.0
V338,0.0
V27,0.0
V31,0.0
V28,0.0
