heavy_threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,light_model,heavy_model,light_recall_target,light_threshold,routed_rate
0.16586296500046607,0.15682561542434154,0.8816129032258064,0.2662834315779217,70787,14694,367,2733,17427,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.16376601760107146,0.15542538671519562,0.8816129032258064,0.2642622316766583,70630,14851,367,2733,17584,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.16190945980005,0.1541626740319035,0.882258064516129,0.26246341346384533,70475,15006,365,2735,17741,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.16041385071146758,0.1529221142027042,0.8829032258064516,0.26069149442804074,70320,15161,363,2737,17898,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.15823721546796785,0.15159235668789808,0.8829032258064516,0.2587567950839045,70163,15318,363,2737,18055,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.15651494649936365,0.1502855260267955,0.8829032258064516,0.25685060060060055,70006,15475,363,2737,18212,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.15465238551460483,0.1490010343513528,0.8829032258064516,0.25497228562112806,69849,15632,363,2737,18369,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.15271573454177484,0.14784627010687681,0.8835483870967742,0.2533062054933876,69694,15787,361,2739,18526,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.15104952325930363,0.1466038644757266,0.8835483870967742,0.2514805123261259,69537,15944,361,2739,18683,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.14930684498318997,0.14548832271762208,0.8841935483870967,0.24986326344576115,69382,16099,359,2741,18840,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.14753191678470604,0.14428593988524505,0.8841935483870967,0.2480879757433136,69225,16256,359,2741,18997,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.14581817146237855,0.1431032682468414,0.8841935483870967,0.24633773703603848,69068,16413,359,2741,19154,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.14429485146063606,0.1419398270415825,0.8841935483870967,0.24461202088260228,68911,16570,359,2741,19311,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.14257523100628625,0.14084651736182452,0.8845161290322581,0.2429989365473236,68755,16726,358,2742,19468,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.14092867832926656,0.13971974522292993,0.8845161290322581,0.2413201320132013,68598,16883,358,2742,19625,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.13925130915574227,0.1386614093620463,0.8848387096774194,0.2397517699501792,68442,17039,357,2743,19782,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.13761094737483312,0.1375695872410853,0.8848387096774194,0.23811797387039368,68285,17196,357,2743,19939,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.13581621435056973,0.13659434713375795,0.885483870967742,0.2366787377133988,68130,17351,355,2745,20096,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.1341442119850999,0.1356342270280946,0.8861290322580645,0.2352588532522588,67975,17506,353,2747,20253,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.1326551855484613,0.1345908868201862,0.8861290322580645,0.2336877924287537,67818,17663,353,2747,20410,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.13099846086745046,0.1336120970486702,0.8864516129032258,0.23222208137913547,67662,17819,352,2748,20567,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.12941683784412206,0.1327446438911407,0.8874193548387097,0.23094358629952985,67508,17973,349,2751,20724,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.12772752187824654,0.1318423447152914,0.8880645161290323,0.2295984320920729,67353,18128,347,2753,20881,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.12619003757772518,0.13090597965586082,0.8883870967741936,0.22818791946308722,67197,18284,346,2754,21038,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.12468314270033982,0.12993630573248408,0.8883870967741936,0.22671331549701587,67040,18441,346,2754,21195,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.1232708996099373,0.12898089171974522,0.8883870967741936,0.22525764763618517,66883,18598,346,2754,21352,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.12160720315102015,0.12808591752289739,0.8887096774193548,0.22390182453573895,66727,18754,345,2755,21509,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.12019063782366753,0.1272039139665836,0.8890322580645161,0.2225631914721796,66571,18910,344,2756,21666,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.11873895742825111,0.126380424322962,0.8896774193548387,0.22132167074589737,66416,19065,342,2758,21823,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.11722788505343763,0.12552320291173794,0.89,0.22001594896331736,66260,19221,341,2759,21980,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.11576023448826939,0.12463296743009442,0.89,0.21864722431350794,66103,19378,341,2759,22137,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
