threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,positive_prediction_rate,trial_name,model_family
0.03468865156173706,0.10317597158522708,0.9651612903225807,0.186423253060843,59474,26007,108,2992,28999,0.3273726871450988,xgb_d8_sqrt_weight,XGBoost
0.03430347144603729,0.10246406570841889,0.9658064516129032,0.18527227722772277,59255,26226,106,2994,29220,0.32986757882615914,xgb_d8_sqrt_weight,XGBoost
0.033960260450839996,0.1016949152542373,0.9658064516129032,0.1840140130911773,59034,26447,106,2994,29441,0.3323624705072194,xgb_d8_sqrt_weight,XGBoost
0.03363868594169617,0.10097093924887061,0.9661290322580646,0.18283377083206154,58814,26667,105,2995,29662,0.33485736218827966,xgb_d8_sqrt_weight,XGBoost
0.03326800465583801,0.10022085396867889,0.9661290322580646,0.18160320155226775,58592,26889,105,2995,29884,0.33736354297196913,xgb_d8_sqrt_weight,XGBoost
0.03289875388145447,0.09947522253221736,0.9661290322580646,0.18037822211515298,58368,27113,105,2995,30108,0.33989230196091713,xgb_d8_sqrt_weight,XGBoost
0.03256986290216446,0.09878334267532725,0.9664516129032258,0.17924556522779622,58148,27333,104,2996,30329,0.3423871936419774,xgb_d8_sqrt_weight,XGBoost
0.03227919340133667,0.09806552976989297,0.9664516129032258,0.17806305904727943,57926,27555,104,2996,30551,0.3448933744256669,xgb_d8_sqrt_weight,XGBoost
0.03196852281689644,0.09736123748862602,0.9664516129032258,0.17690127538970238,57705,27776,104,2996,30772,0.3473882661067272,xgb_d8_sqrt_weight,XGBoost
0.03169253095984459,0.0966961347357553,0.9667741935483871,0.17580806006922037,57484,27997,103,2997,30994,0.34989444689041665,xgb_d8_sqrt_weight,XGBoost
0.031353313475847244,0.09604049205535622,0.9670967741935483,0.17472898939270312,57263,28218,102,2998,31216,0.3524006276741062,xgb_d8_sqrt_weight,XGBoost
0.031026747077703476,0.09539714349333588,0.9674193548387097,0.1736688189477951,57043,28438,101,2999,31437,0.35489551935516644,xgb_d8_sqrt_weight,XGBoost
0.030751414597034454,0.09476577060365796,0.967741935483871,0.17262709669994533,56824,28657,100,3000,31657,0.3573791219335975,xgb_d8_sqrt_weight,XGBoost
0.0304428581148386,0.0941969887076537,0.9687096774193549,0.17169811320754716,56604,28877,97,3003,31880,0.35989659181991623,xgb_d8_sqrt_weight,XGBoost
0.03015212155878544,0.09357963926357435,0.9690322580645161,0.1706769694042783,56384,29097,96,3004,32101,0.3623914835009765,xgb_d8_sqrt_weight,XGBoost
0.02980736456811428,0.0929397933296207,0.9690322580645161,0.1696121054711761,56163,29318,96,3004,32322,0.36488637518203676,xgb_d8_sqrt_weight,XGBoost
0.029559718444943428,0.092336529006883,0.9693548387096774,0.16861182807765682,55942,29539,95,3005,32544,0.3673925559657263,xgb_d8_sqrt_weight,XGBoost
0.02928161807358265,0.09174423927971921,0.9696774193548388,0.16762860727728984,55722,29759,94,3006,32765,0.36988744764678655,xgb_d8_sqrt_weight,XGBoost
0.029011528939008713,0.09115712250280414,0.97,0.1666528112616732,55501,29980,93,3007,32987,0.3723936284304761,xgb_d8_sqrt_weight,XGBoost
0.028746359050273895,0.09061069621777885,0.9706451612903226,0.16574859535088687,55282,30199,91,3009,33208,0.37488852011153634,xgb_d8_sqrt_weight,XGBoost
